2026-03-12 02:18:47 | INFO     | local_cartridge_train |   - Patient distribution in first 100: {'patient_04': 17, 'patient_01': 14, 'patient_05': 14, 'patient_09': 12, 'patient_10': 9, 'patient_07': 8, 'patient_08': 7, 'patient_02': 7, 'patient_03': 6, 'patient_06': 6}
2026-03-12 02:18:47 | INFO     | local_cartridge_train | --------------------------------------------------
2026-03-12 02:18:47 | INFO     | local_cartridge_train | Downloading LongHealth benchmark data...
2026-03-12 02:18:48 | INFO     | local_cartridge_train |   - Loaded 20 patient documents
2026-03-12 02:18:48 | INFO     | local_cartridge_train |   - Total document tokens: 222,309
2026-03-12 02:18:48 | INFO     | local_cartridge_train |   - Average tokens per document: 11,115
2026-03-12 02:18:48 | INFO     | local_cartridge_train | --------------------------------------------------
2026-03-12 02:18:48 | INFO     | local_cartridge_train | Initializing trainable cache with 512 tokens...
2026-03-12 02:18:48 | INFO     | local_cartridge_train |   - Using PATIENT DOCUMENT initialization (per Cartridges paper)
2026-03-12 02:18:48 | INFO     | local_cartridge_train |   - Training patients: ['patient_01', 'patient_02', 'patient_03', 'patient_04', 'patient_05', 'patient_06', 'patient_07', 'patient_08', 'patient_09', 'patient_10']
2026-03-12 02:18:48 | INFO     | local_cartridge_train |   - Initialization text: 2,058 chars from 10 patients
2026-03-12 02:18:48 | INFO     | local_cartridge_train |   - Wrote initialization text to: /var/folders/lz/1jczgn2n6lb1h9_73drs_bkm0000gp/T/tmp0515_1ei.txt
/Users/csuda/cartridges-workspace/cartridges/cartridges/initialization/text.py:41: UserWarning: CUDA is not available or torch_xla is imported. Disabling autocast.
  with torch.amp.autocast(device_type="cuda", dtype=torch.bfloat16):
2026-03-12 02:18:48,775 - cartridges.cache [rank=0] - INFO - num_trainable_tokens: 511
2026-03-12 02:18:48 | INFO     | cartridges.cache [rank=0] | num_trainable_tokens: 511
2026-03-12 02:18:48,775 - cartridges.cache [rank=0] - INFO - num_frozen_tokens: 1
2026-03-12 02:18:48 | INFO     | cartridges.cache [rank=0] | num_frozen_tokens: 1
2026-03-12 02:18:53 | INFO     | local_cartridge_train |   - Cache initialized: 512 cartridge tokens
2026-03-12 02:18:53 | INFO     | local_cartridge_train |   - Trainable params in cache: 29,302,784
